municipio,categoria,total
Araripina,Artesanato,1
Araripina,Museus,1
Ibimirim,"Açudes, barragens, bicas, cacimbas e canais construídos",1
Ibimirim,Bares,5
Ibimirim,Delegacias de Polícia,1
Ibimirim,Festas Populares e Religiosas,2
Ibimirim,Hospitais,1
Ibimirim,Lanchonetes,1
Ibimirim,Mercados Públicos,1
Ibimirim,Outros,1
Ibimirim,Pizzarias,2
Ibimirim,Pousada,5
Ibimirim,Restaurantes,6
Ibimirim,Áreas Esportivas,1
Ibimirim,Órgãos e Entidades Oficiais de Turismo,1
Itacuruba,Hospitais,1
Jatobá,Artesãos,1
Jatobá,Balneários,1
Jatobá,Fábricas/Instalações Industriais,1
Jatobá,Miradouros e Belvederes,1
Jatobá,Restaurantes,1
Jatobá,Trens e Trilhos Históricos,1
Manari,Academias em Espaços Públicos,2
Manari,Artesanato,1
Manari,Clubes Sociais,2
Manari,Comunidades Quilombolas,1
Manari,Cruzeiros/Nichos/Oratórios e Vias Sacras,1
Manari,Delegacias de Polícia,2
Manari,Feiras Livres,1
Manari,Feiras e Exposições,1
Manari,Festas Populares e Religiosas,10
Manari,Folclore,1
Manari,Hospitais,1
Manari,"Igrejas, Capelas, Conventos, Catedrais, Mosteiros e Espaços Religiosos",3
Manari,Lanchonetes,2
Manari,Outras atividades,1
Manari,Parques de Vaquejada/Cavalhada,7
Manari,Pega de Boi no Mato,3
Manari,Pista para Motocross,2
Manari,Postos de Abastecimento de Veículos,1
Manari,Pousada,2
Manari,Pousada Rural,1
Manari,Restaurantes,4
Manari,Sugeridos pelos Municípios,16
Manari,Transportadoras Rodoviárias,1
Manari,Transportadoras Turísticas,1
Manari,Áreas Esportivas,1
Orocó,Agências de Turismo Receptivo,1
Orocó,Aldeamentos indígenas,3
Orocó,Balneários,1
Orocó,Barcos e Jangadas - Passeios,1
Orocó,Bares,3
Orocó,Churrascaria,1
Orocó,Comunidades Quilombolas,6
Orocó,Cultos Religiosos,1
Orocó,Farmácias,4
Orocó,Feiras Livres,1
Orocó,Festas Populares e Religiosas,2
Orocó,Hospitais,1
Orocó,"Igrejas, Capelas, Conventos, Catedrais, Mosteiros e Espaços Religiosos",3
Orocó,Pizzarias,2
Orocó,Postos de Abastecimento de Veículos,1
Orocó,Pousada,3
Orocó,Restaurantes,4
Orocó,Ruínas,1
Orocó,Sistema Rodoviário,1
Orocó,Sugeridos pelos Municípios,1
Orocó,"Áreas, Espaços, Pátios, Parques e Pavilhões de Feiras e Exposições",1
Petrolândia,Agência de Viagens e Turismo,1
Petrolândia,Agências de Turismo Receptivo,1
Petrolândia,Artesanato,1
Petrolândia,"Açudes, barragens, bicas, cacimbas e canais construídos",1
Petrolândia,Bibliotecas,1
Petrolândia,Churrascaria,1
Petrolândia,"Ecovilas, Agrovilas, Vilas e Fazendas",1
Petrolândia,Hotel,1
Petrolândia,Outros,2
Petrolândia,Parques Aquáticos,1
Petrolândia,Parques Públicos,1
Petrolândia,Pousada,3
Petrolândia,Ruínas,1
Trindade,Aldeamentos indígenas,1
Trindade,Artesanato,1
Trindade,Estádios e Campos de Futebol,1
Trindade,Feiras Livres,1
Trindade,Feiras e Exposições,1
Trindade,Festas Populares e Religiosas,2
Trindade,Gastronomia Típica,1
Trindade,Hospitais,1
Trindade,Hotel,1
Trindade,"Igrejas, Capelas, Conventos, Catedrais, Mosteiros e Espaços Religiosos",1
Trindade,Lanchonetes,1
Trindade,Outras atividades,4
Trindade,Parques Públicos,1
Trindade,Policlínicas,1
Trindade,Pousada,1
Trindade,Praças/Parques,1
Trindade,Pórticos e Memoriais,2
Trindade,Restaurantes,2
Trindade,Sugeridos pelos Municípios,2
Trindade,Teatros e Anfiteatros,1
Trindade,UPAs,1
