questionario_preenchido,total
Alimentação,38
Atrativos Culturais,32
Instalações Desportivas,19
Roteiros Turísticos,19
Hospedagens,17
Festas Populares e Religiosas,16
Entretenimento,12
Sistema Médico-Hospitalar,7
Compras,5
"Feiras Livres, Mercados Públicos",4
Agenciamento,3
Outros Servicos de Apoio Turistico,3
Sistema de Segurança,3
"Artesanato, Folclore, Gastronomia",2
Artesanato-Detalhamento,2
Feiras e Exposições,2
Transportes Turisticos,2
"Artesãos, Artistas Plásticos",1
Folclore-Detalhado,1
Gastronomia-Detalhado,1
"Locais de Convernções, Exposições e Eventos Sociais",1
Sistema Rodoviário,1
