"P0. Município","1. Tipo da Categoria. Especificar de acordo com os itens listados abaixo; se o atrativo possuir mais de uma categoria, registrar um formulário para cada categoria.","2. Situação. Selecionar opção ATIVO ou INATIVO.","3. Nome. Informar o nome pelo qual o equipamento e/ou serviço é mais conhecido pela comunidade local ou visitantes.","4. Endereço. Informar com o maior detalhamento possível: rua, número, bairro/distrito e CEP.","5.1 Coordenadas. Informar a latitude do local em formato decimal.","5.2 Coordenadas. Informar a longitude do local em formato decimal.","6. DDD / Telefone. Informar o DDD + Telefone no padrão (XX) XXXXX-XXXX.","7. Outro Telefone. Informar um telefone adicional, se aplicável, no padrão (XX) XXXXX-XXXX.","8. Site. Informar o link de acesso ao site e/ou nomes dos perfis das redes sociais.","9. E-mail. Informar o e-mail do atrativo.","10.1 Capacidade de Atendimento. Informar o número total de mesas.","10.2 Capacidade de Atendimento. Informar o número total de cadeiras e/ou assentos","10.4 Capacidade de Atendimento. Informar o número total de pessoas atendidas simultaneamente.","11. Área. Informar a área total do estabelecimento em metros quadrados.","12.1 Período de Funcionamento. Selecionar se a atividade é permanente ou de temporada.","12.2 Período de Funcionamento. Marcar se o local funciona em finais de semana e/ou em feriados e festas.","12.2 Período de Funcionamento. Marcar se o local funciona em finais de semana e/ou em feriados e festas.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.3 Período de Funcionamento. Assinalar os meses em que há operação.","13.1 Funcionamento Dias/Horário. Atendimento 24 horas? Assinalar se o estabelecimento presta serviços de forma ininterrupta, sem fechamento.","13.2 Funcionamento Dias/Horário. Dias úteis - Turno 1 - Das.","13.3 Funcionamento Dias/Horário. Dias úteis - Turno 1 - Às.","13.4 Funcionamento Dias/Horário. Dias úteis - Turno 2 - Das.","13.5 Funcionamento Dias/Horário. Dias úteis - Turno 2 - Às.","13.6 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 1 - Das.","13.7 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 1 - Às.","13.8 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 2 - Das.","13.9 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 2 - Às.","13.10 Funcionamento Dias/Horário. Observações e outros períodos.","14. Adaptações e Facilidades para Pessoas com Deficiência. Selecionar uma opção.","15. Descreva as adaptações. Informar com o maior detalhamento possível as adaptações existentes.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","16. Equipamentos e Serviços. Selecione os equipamentos e serviços disponíveis na instalação.","17. Outros. Indicar outros equipamentos e serviços disponíveis no estabelecimento.","19.1 Fonte. Informar de onde as informações foram extraídas e inseridas nos campos anteriores.","19.2 Fonte. Incluir contatos da fonte, se disponíveis: nome do responsável, telefone e e-mail.","20. Pesquisador: ","Pesquisador","Nro. Identificação","Data Início","Data Fim","Latitude","Longitude"
"Orocó ","Balneários","ATIVO","Rancho São José","Fazenda Boa Paz , zona rural - Orocó cep 56170000","8.617995","-39588039","87999301484","87999040457","999","silvanaxavier@gmail.com",10,50,30,999,"Permanente","Finais de Semana",,"Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Não","08:00 as 12:00","12:00 as 17:00","08:00 as 17:00","08:00 as 17:00","08;00 as 17:00","08:00 as 17:00","08:00 as 17:00","08:00 as 17:00","Finais de semana 08:00 as 17:00","Não Adaptado - não possui nenhuma adaptação",,"Música Ambiente","TV","Wi-fi","Bar","Restaurante","Estacionamento","Sanitários","Chuveirões",,,,,,,,,,,,,"Área de camping","Proprietária","Silvana Xavier Barbosa Silva, 8799930-1484","Catarina Bezerra de Menezes | 1342687289 ","Catarina Bezerra de Menezes | 1342687289",3395877,21/05/2026 08:47:55,21/05/2026 09:23:55,-8.61749617,-39.58833810
"Orocó ","Barcos e Jangadas - Passeios","ATIVO","Beira do Rio são Francisco","Avenida São Sebastião,S/N orla , cep 56170000","8623363","-39598243","999","999","999","999",999,999,999,999,"Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"Domingo a domingo","Não Adaptado - não possui nenhuma adaptação",,"Bar","Restaurante","Estacionamento","Sanitários",,,,,,,,,,,,,,,,,"999","999","999","Catarina Bezerra de Menezes | 1342687289 ","Catarina Bezerra de Menezes | 1342687289",3379158,11/05/2026 09:08:46,11/05/2026 09:17:20,-8.62319718,-39.59827157
"Manari ","Clubes Sociais","ATIVO","Chácara Pindoba","Povoado Umbuzeiro Doce","8°55'56'S","37°38'56'W","87996398423","87996398423","@piscinapindoba","siprianooliveira23@gmail.com",14,50,2.000,2.250,"Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Não","Não funciona","Não funciona","Não funciona","Não funciona","11:30","12:00","12:00","0:00","Atendimento somente nos finais de semana","Não Adaptado - não possui nenhuma adaptação",,"Piscina","Playground","Música Ambiente","Bomboniere","Telão","Jogos","Equipamento Som","Equip. Iluminação","Shows Artísticos","Wi-fi","Bar","Restaurante","Estacionamento","Sanitários","Chuveirões",,,,,,"Não","Cipriano José de Oliveira - Chácara Pindoba","87996398423","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3402103,24/05/2026 21:17:36,24/05/2026 21:29:24,-8.93226667,-37.64887000
"Manari ","Clubes Sociais","ATIVO","Áreas de lazer e piscina/Chácara Acapulco","Sítio Salgado, S/N, Zona Rural, 56565000","8°56'46'S","37°38'60'W","87996060969","87996060969","Não tem","Não tem",20,69,2.500,2.340,"Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"Controle de horário no funcionamento do som","Semiadaptado - possui algumas adaptações, mas não atende completamente os padrões","Rampa de acesso para cadeirantes","Piscina","Playground","Jogos","Equip. Iluminação","Shows Artísticos","Wi-fi","Estacionamento","Sanitários","Chuveirões",,,,,,,,,,,,"Área com churrasqueira, freezer, plantas naturais e frutíferas, espaço amplo.","Risonaldo Matias de Oliveira - Chácara Acapulco - Área de lazer e piscina.","87996060969","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3399043,22/05/2026 12:27:43,22/05/2026 12:44:09,-8.94570000,-37.64953000
"Jatobá ","Balneários","ATIVO","Balneário Paraíso das Águas ","Orla do Rio São Francisco, Balneário Paraíso das Águas, Centro, Jatobá - PE, CEP 56470-000.","-9.193311017726673","-38.2764988088896","999","999","https://www.instagram.com/paraisodasaguas023/","999",40,160,160,3367.6200,"Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Não","Segunda a sexta-feira, 08h00 às 18h00. Sábado, 08h00 às 18h00. Domingo, 08h00 às 18h00.","18:00","999","999","08:00","18:00","999","999","Funcionamento diário das 08h00 às 18h00, incluindo finais de semana e feriados, sem intervalo para segundo turno.","Semiadaptado - possui algumas adaptações, mas não atende completamente os padrões","Rampa de acesso","Música Ambiente","Jogos","Equipamento Som","Wi-fi","Bar","Restaurante","Estacionamento","Sanitários",,,,,,,,,,,,,"Área de banho no rio, mesas ao ar livre, área de convivência, e acesso à orla.","Informações obtidas por visita técnica in loco, observação direta do empreendimento, registros fotográficos.","Responsável não identificado, informações obtidas por visita técnica e observação direta no local.","Cristhian Mateus dos Santos Lima | 1323239933","Preenchimento via link",3431541,07/06/2026 15:29:31,07/06/2026 15:54:44,0.00000000,0.00000000
"Trindade","Outras atividades","ATIVO","Cada redonda no sítio do João do Rock","Sítio inveja, Zora rural, próximo ao sítio Saco verde, Trindade-PE, 56.250-000","7690095","40303797","87999005584","87999254717","R/N","R/N",4,8,10,150,"Temporada","Finais de Semana",,"Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Não","É preciso agendar visita com o proprietário","Manhã e tarde","Manhã e tarde","Manhã e tarde","Manhã e tarde","Sábado e domingo agendar sendo manhã e tarde","Manhã e tarde","Manhã e tarde","Feriados, agendar com o proprietário","Semiadaptado - possui algumas adaptações, mas não atende completamente os padrões","Fácil acesso a casa, não tem calçadas altas","Piscina","TV","Wi-fi","Estacionamento","Sanitários","Chuveirões",,,,,,,,,,,,,,,"Casa com espaço para receber pessoas que queiram visitar e conhece.","João Batista Dias de Oliveira, proprietário","87999005584","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3383913,13/05/2026 14:31:52,13/05/2026 15:13:44,-7.69003333,-40.30366333
"Trindade","Outras atividades","ATIVO","Morro do macaco, trilha de aventura, no povoado do Saco verde. Em Trindade-PE","Sítio Saco verde 2, pe de de serra, morro do macaco, Trindade-PE, cep 56.250-000","77324994","40279067","87999254717","87981714004","Não tem link","andersondossantosoliveira88@gmail.com",0,0,20,30,"Temporada","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"O Morro do Macaco, localizado no Sítio Sacu-Verde, é um ponto conhecido para trilhas e aventuras. Nos finais de semana e feriados, grupos costumam subir o morro com apoio de guias turísticos. O local possui três tipos de acesso: uma trilha direta.","Não Adaptado - não possui nenhuma adaptação",,"Estacionamento",,,,,,,,,,,,,,,,,,,,"Não há equipamentos no local, pois se tratar de trilhas de aventura e escalada de serrado","Foram informadas pelo condutor de trilha de aventura","Anderson dos Santos Oliveira, condutor de trilha de aventura, contato 87 9 99254717","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3383037,13/05/2026 11:34:07,13/05/2026 11:48:10,-7.63979667,-40.30138167
"Trindade","Outras atividades","ATIVO","Serra da Bonita","Pé de Serra da Bonita, zona rural, Trindade-PE 56250-000","-7.7437439","-40.279264","R/N","R/N","R/N","R/N",0,0,20,0,"Temporada","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Não","Finais de semana e feriado","Manhã e tarde","Horário a combinar","R/n","R/n","R/N","R/N","R/N","O pessoal que queira conhecer deve combinar com o guia","Semiadaptado - possui algumas adaptações, mas não atende completamente os padrões","Estrada feita na serra, fácil acesso.","Estacionamento",,,,,,,,,,,,,,,,,,,,"Tem a vila da Bonita próximo, com restaurantes","Ida ao local, pesquisa","Pessoas locais","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3399387,23/05/2026 09:57:46,23/05/2026 10:05:22,-7.69866930,-40.25188110
"Trindade","Parques Públicos","ATIVO","Praça pública da igreja matriz de Trindade (Sagrada Família)","Rua presidente Dutra, S/N, centro, Trindade-PE","77610210","40265582","R/N","R/N","R/N","R/N",0,0,0,0,"Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"A praça da cidade está aberta todos os dias para o público.","Adaptado - possui estrutura adequada a pessoas com deficiência ou mobilidade reduzida","Rampas de acesso, para cadeirantes em locais específicos...","Shows Artísticos",,,,,,,,,,,,,,,,,,,,"A praça é simples, apenas banco de cimento com arvores para as pessoas se sentarem. A praça conta com um ponto de moto-taxi.","Observação e conhecimento do pesquisado, junto a populares.","Anderson","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3376738,09/05/2026 09:24:04,09/05/2026 09:43:14,-7.76073333,-40.26546667
"Trindade","Teatros e Anfiteatros","ATIVO","Espetaculo teatral, Paixão de Cristo de Trindade-Pe","Parque municipal, as margens da Br 316, aí lado da Upa 24h","-7.7667454","-40259472","+55 87 9914-5999","87 999393081","Instagram:paixaodecristodetrindadepe","R/N",0,0,0,150,"Temporada","Feriados e Festas",,"Abril",,,,,,,,,,,,"Não","Apenas umas vez no mês de Abril período da semana santa","Apenas uma vez no mês","Tem os dias de ensaios em média 2 meses.","R/N","R/N","R/N","R/N","R/N","R/N","Semiadaptado - possui algumas adaptações, mas não atende completamente os padrões","Fácil acesso para pessoas especiais.","Equip. Iluminação","Shows Artísticos",,,,,,,,,,,,,,,,,,,"Palco de ambiente natural, onde as pessoas tem uma boa visão de acesso.","Anderson dos Santos Oliveira,  membro e participante do teatro, paixão de Cristo.","Acult-Pe, +55 87 9914-5999","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3387839,15/05/2026 13:07:54,15/05/2026 13:22:09,-7.76494333,-40.25911500
