"P0. Município","1. Tipo da Categoria. Selecionar a opção única: Festas Populares e Religiosas.","2. Situação. Selecionar opção ATIVO ou INATIVO.","3. Nome do Atrativo. Informar o nome pelo qual o atrativo é mais conhecido pela comunidade local ou visitantes.","4. Localização. Informar com maior detalhamento possível: rua, número, bairro/distrito e CEP.","5.1 Coordenadas. Informar a latitude:","5.2 Coordenadas. Informar a longitude:","6. DDD / Telefone. Informar no padrão (XX) XXXXX-XXXX.","7. Site / Rede Social. Informar link do site oficial e/ou nomes dos perfis nas redes sociais.","8. E-mail do atrativo.","9.1 Época. Informar data ou mês de ocorrência.","9.2 Duração. Indicar, em número de dias, a duração do evento.","9.3 Periodicidade. Indicar a periodicidade do evento: semanal, anual, bienal etc.","10.1 Descrição do atrativo. Data de início. Indicar DIA/MÊS/ANO de fundação; se não for possível, informar período aproximado.","10.2 Descrição do atrativo. Origem / histórico: significado do nome do grupo, elementos simbólicos, influências culturais, premiações e reconhecimentos.","10.3 Descrição do atrativo. Organização e funcionamento: estrutura atual, modos de financiamento e sede ou local/locais de ensaio.","10.4 Descrição do atrativo. Apresentações: características do grupo, com vestimentas, músicas, decorações, lendas e principais eventos em que participa.","12.1 Fonte. Informar de onde: pessoa, órgão ou entidade de onde as informações foram extraídas.","12.2 Fonte. Informar contatos da fonte, se disponíveis: nome do responsável, telefone e e-mail.","11. Pesquisador: ","Pesquisador","Nro. Identificação","Data Início","Data Fim","Latitude","Longitude"
"Trindade","Festas Populares e Religiosas","ATIVO","Igreja matriz da sagrada família","56.250-000","77662323","40259432","87999688414","paroquiasagradafamiliatrindade","R/N","A igreja matriz e aberta de segunda a domingo, a secretaria paroquial funcional de 8h às 12 e de 14h as 17h. Período de festividade 19 a 29 de setembro.",11,"Os eventos da igreja acontece anualmente, mas missas e outras atividades são diariamente.","Festa do padroeiro 19 a 29 de setembro","Sagrada família","Toda a estrutura e organizada pela secretaria paroquial","As atrações e missas são realizados pela organização da igreja, com duração de 11 dias.","Site da paróquia da sagrada família de Trindade...","trindade.sfamilia@diocesedesalgueiro.or.br","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3376812,09/05/2026 10:09:24,09/05/2026 10:29:44,-7.76082667,-40.26553000
"Manari ","Festas Populares e Religiosas","ATIVO","Festa de Nossa das Dores/Padre Cícero","Povoado Minador, Zona Rural, 56566000","8°53'57' S","37°29'54'W","87981771590","@povoadominador","999","12 à 21",10,"Anual","12/07/2007","Festa em honra a Padre Cícero, por causa das Graças alcançadas pelo povo da região.","Funciona a partir de doações das pessoas da comunidade e de apoio público.","Há dois anos funciona atrações culturais, como samba de côco, banda de pífanos, shows de calouros e artistas, e ornamentações dos espaços.","Isabelly Júlia Soares e Edivonaldo Soares Barros","87999326017","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3390548,16/05/2026 18:12:30,16/05/2026 18:42:01,-8.89651833,-37.49835167
"Manari ","Festas Populares e Religiosas","ATIVO","Festa de Carro de Gilmar e Micielia do Sítio Garrote.","Sítio Garrote, S/N, ZONA RURAL, 56565000","8°57'8'S","37°34'45'W","87981713969","@turmadogarrote","Não tem","Mês de Março",2,"Anual","28 e 29/03/2026","Comecei a fazer o encontro de carro de boi para fortalecer a cultura local, com premiação e reconhecimento popular, e recebe esse nome pelo movimento cultural dos carreiros.","Área de festa e espaço cercado, comida, bar, café, banho, lugares, água e ração para os animais. Financiamento através de patrocinadores e apoio do poder público municipal.","Vestimentas com camisas das carreatas, participam com carros de boi, de carneiro e de jegue enfeitados, e com muitas histórias das tradições antigas.","Gilmar Félix de Cristo, Maria Micielia Torres.","87981713969","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3394393,19/05/2026 13:05:30,19/05/2026 13:34:49,-8.95229333,-37.57893500
"Manari ","Festas Populares e Religiosas","ATIVO","Missa do Vaqueiro de Santa Luzia","1° Distrito de Santa Luzia, 56565000","85348","373324","87981100052","999","Não tem","10 de Dezembro",1,"Anual","10/12/2015","Surgiu da ideia de uma cavalgada, mas se transformou em Missa do Vaqueiro deste distrito, onde participam muita gente com banners, bandeira e faixas. Faz premiação com troféus, e tem o reconhecimento popular.","Missa na praça central e com palco, estrutura para festa e etc. Estruturas financiada pelo poder público e com a ajuda das pessoas da região.","Participantes e vaqueiros com vestimentas de couro, montados à cavalo.","Sandra Amaral.","87981100052","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3394394,19/05/2026 14:05:00,19/05/2026 14:15:35,-8.89667667,-37.55655333
"Trindade","Festas Populares e Religiosas","ATIVO","Festa de são João","Rua presidente de Moraes, Trindade-PE, 56250-000, Brasil, vila São Sebastião.","-7.7660162","-40.264372","R/N","R/N","R/N","Acontece durante todo o mês de junho",28,"Acontece durante o mês do São João, o evento de festa juninas, vai o mês todo com vários grupos de quadrilha junina competindo entre si","R/N","Festa junina, grupos de quadrilhas juninas","Os grupos, são variados, tem grupos escolares, grupos de ruas, grupos de povoados, tem apoio da prefeitura, e alguns campeonatos tem premiação.","Roupas típicas de temporada junina, evento junina","Populares, participante dos grupos...","R/N","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3394933,20/05/2026 10:28:32,20/05/2026 10:39:01,-7.76636500,-40.26428500
"Manari ","Festas Populares e Religiosas","ATIVO","Festa da emancipação política municipal de Manari","Rua Dom Pedro II - Praça de eventos, Centro, 56565000","8°57'40'S","37°37'30'W","8738407397","@prefeiturademanari","pmmanari.gov@gmail.com","12/07/2026",1,"Anual","12/07/1995","Celebração cívica anual, realizada em 12 de Julho, com hasteamento das bandeiras, missa solene, apresentação de bandas marciais, inaugurações, shows artísticos e queima de fogos.","Organização e montagem de estrutura de palco, ornamentações, apresentações artísticas e culturais na praça de eventos do município, com financiamento público.","Evento que celebra o aniversário de emancipação política do município de Manari.","Prefeitura Municipal de Manari","87 3840-7397","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3396523,21/05/2026 13:39:17,21/05/2026 14:13:32,-8.96024833,-37.62608667
"Manari ","Festas Populares e Religiosas","ATIVO","Festa de São Sebastião - Tradicional Festa de Janeiro","Praça central, centro, 56565000","8°57'41'S","37°37'24'W","87991821995","@prefeiturademanari","pmmanari.gov@gmail.com","11 à 20 de Janeiro",10,"Anual","Há cerca de um Século","Tradicional festa do padroeiro realizada anualmente de 11 à 20 de Janeiro por causa de uma promessa feita a São Sebastião. Conta com shows artísticos, bandas de pífano sim, celebrações religiosas, espaço para alimentação, bebidas e parque de diversões.","A festa acontece entre a igreja matriz e a praça central, com estrutura de palco e barracas financiados pelo poder público, com apoio do comércio e da população local.","A festa se dá por causa de uma promessa feita por pessoas do município há cerca de um século, e se fortalece a cada ano com a cultura local e os shows artísticos.","Prefeitura Municipal de Manari","pmmanari.gov@gmail.com","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3396768,21/05/2026 16:35:34,21/05/2026 16:59:19,-8.96020000,-37.62220167
"Manari ","Festas Populares e Religiosas","ATIVO","Missa do Vaqueiro e noite dos criadores","Sítio Alto de Zé Duardo/Praça de eventos","8°57'41'S","37°37'30'W","87996623207","@prefeiturademanari","pmmanari.gov@gmail.com","18 de Janeiro",1,"Anual","18/01/1985","Festa em homenagem a São Sebastião, de muita importância para a cultura local, com a vaqueirama encorada, carregando faixas, participando da missa, procissão e festa. Popularmente reconhecida em toda região.","Inclui concentração, café, almoço, no Rancho . procissão com a imagem de São Sebastião e celebração litúrgica em homenagem aos vaqueiros e criadores, apresentações musicais, manifestações culturais e premiação. Atrativo realizado pela prefeitura e o povo.","Vaqueiros com roupas de couro, shows artísticos, e com uma história riquíssima sobre a promessa de Zé Pesqueira à São Sebastião.","Ricardo Malta","87 999623207","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3396769,21/05/2026 17:06:30,21/05/2026 17:22:22,-8.96012500,-37.62226167
"Manari ","Festas Populares e Religiosas","ATIVO","Festa de Sant'ana, Povoado Serra do Exú","Povoado Serra do Exú, praça pública, 56565000","8°57'39'S","37°31'40'W","87981120669","@_capela_santo_antonioo","Não tem","17 à 26 de Julho",10,"Anual","Entre as décadas de 1940 e 1950","Entre as décadas de 1940 e 1950","Estrutura de palco, barracas, apresentações artísticas e culturais com a banda de pífanos, o novenário rezado e queima de fogos. Recebe financiamento público e apoio da comunidade e da vereadora local.","Apresentação de bandas de pífanos, shows de artistas, etc.","Nilda de Wilis, Aline Gomes, Cícera Gomes.","87981120669","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3399046,22/05/2026 15:24:33,22/05/2026 15:54:44,-8.96079833,-37.52779000
"Manari ","Festas Populares e Religiosas","ATIVO","Festa de Santo Antônio - Povoado Serra do Exú","Povoado Serra do Exú, praça central, 56565000","8°57'39'S","37°31'40'W","87981120669","@_capela_santo_antonioo","Não tem","31 de maio à 13 de junho",14,"Anual","Entre as décadas de 1940 e 1950","Trabalhadores da região encontraram a imagem de Santo Antônio no pé de uma planta na grota, trouxeram pra igreja, mas a imagem sempre voltava para o local de origem, e por isso foi levada à roma para estudo. E assim deu origem a Capela e Novena.","Estrutura de palco, ornamentações e apresentações artísticas financiada pelo poder público municipal e apoio da comunidade e representante política local.","Apresentação de bandas de pífanos.","Cícera Gomes e Nilda de Wilis","87981120669","Marciano Rodrigues de Oliveira | 1323221000","Marciano Rodrigues de Oliveira | 1323221000",3399047,22/05/2026 15:54:52,22/05/2026 16:19:39,-8.96079500,-37.52782667
